Year              , Make              , Model             , Car_ID            , total_score       , racer_score       ,engine_score      , body_frame_score  , mods_score        , mods_overall_score, car_overall_score , ranking            
1982              , Volkswagen        , Rabbit            , 238               , 28                , 0                 ,2                 , 10                , 14                , 2                 , 0                 , 98                 
2016              , Volkswagen        , Gti               , 144               , 28                , 0                 ,4                 , 10                , 12                , 2                 , 0                 , 99                 
1990              , Nissan            , Skyline           , 14                , 26                , 6                 ,4                 , 8                 , 6                 , 2                 , 0                 , 100                
2012              , Mercedes          , C63               , 98                , 26                , 4                 ,6                 , 10                , 4                 , 2                 , 0                 , 101                
2010              , Volkswagen        , Gti               , 114               , 26                , 2                 ,4                 , 8                 , 10                , 2                 , 0                 , 102                
2016              , Ford              , Focus rs          , 219               , 26                , 6                 ,6                 , 8                 , 4                 , 0                 , 2                 , 103                
1993              , Mazda             , Miata             , 141               , 26                , 0                 ,0                 , 6                 , 18                , 2                 , 0                 , 104                
2007              , Subaru            , Legacy            , 187               , 26                , 6                 ,4                 , 0                 , 12                , 2                 , 2                 , 105                
2014              , Nissan            , Maxima            , 242               , 26                , 0                 ,6                 , 6                 , 12                , 2                 , 0                 , 106                
2016              , Bmw               , M2                , 2                 , 24                , 2                 ,2                 , 6                 , 12                , 2                 , 0                 , 107                
2016              , Honda             , Civic si          , 130               , 24                , 2                 ,4                 , 2                 , 16                , 0                 , 0                 , 108                
2007              , Toyota            , Camry             , 241               , 24                , 0                 ,4                 , 10                , 8                 , 2                 , 0                 , 109                
2007              , Honda             , Civic             , 22                , 24                , 0                 ,2                 , 12                , 6                 , 2                 , 2                 , 110                
2016              , Volkswagen        , GTI               , 81                , 24                , 4                 ,0                 , 12                , 6                 , 0                 , 2                 , 111                
2013              , Mitsu             , Ralliart          , 163               , 22                , 4                 ,4                 , 4                 , 8                 , 2                 , 0                 , 112                
2005              , Acura             , TL                , 93                , 22                , 2                 ,2                 , 6                 , 10                , 0                 , 2                 , 113                
2006              , Nissan            , 350z              , 150               , 22                , 0                 ,4                 , 4                 , 12                , 2                 , 0                 , 114                
2006              , Volvo             , S60r              , 100               , 22                , 6                 ,8                 , 6                 , 2                 , 0                 , 0                 , 115                
2014              , Bmw               , 4                 , 172               , 22                , 4                 ,6                 , 4                 , 2                 , 0                 , 6                 , 116                
2016              , Ford              , Mystang           , 167               , 20                , 4                 ,4                 , 6                 , 4                 , 2                 , 0                 , 117                
2004              , Acura             , Tsx               , 230               , 20                , 0                 ,4                 , 8                 , 6                 , 2                 , 0                 , 118                
2012              , Volkswagen        , Cc                , 182               , 20                , 4                 ,2                 , 6                 , 4                 , 2                 , 2                 , 119                
2013              , Scion             , Frs               , 235               , 20                , 2                 ,2                 , 6                 , 8                 , 2                 , 0                 , 120                
1993              , Mazda             , Miata             , 79                , 18                , 0                 ,0                 , 8                 , 8                 , 2                 , 0                 , 121                
2008              , Honda             , Accord            , 226               , 18                , 0                 ,0                 , 6                 , 12                , 0                 , 0                 , 122                
2010              , Honda             , Fit               , 34                , 18                , 0                 ,0                 , 8                 , 8                 , 0                 , 2                 , 123                
2005              , Volkswagen        , Jetta             , 183               , 16                , 4                 ,4                 , 2                 , 4                 , 2                 , 0                 , 124                
2014              , Honda             , Civic si          , 89                , 16                , 2                 ,2                 , 4                 , 6                 , 2                 , 0                 , 125                
2008              , Volkswagen        , Gli               , Vip               , 16                , 6                 ,4                 , 4                 , 0                 , 0                 , 2                 , 126                
2013              , Hyundai           , Gen coupe         , 159               , 14                , 2                 ,2                 , 6                 , 4                 , 0                 , 0                 , 127                
2015              , Subaru            , Sti               , 67                , 14                , 2                 ,2                 , 4                 , 4                 , 2                 , 0                 , 128                
2013              , Audi              , S4                , 108               , 14                , 4                 ,0                 , 2                 , 4                 , 2                 , 2                 , 129                
2004              , Audi              , A4                , 220               , 14                , 0                 ,2                 , 4                 , 6                 , 2                 , 0                 , 130                
2012              , Volkswagen        , Gli               , 186               , 14                , 0                 ,2                 , 2                 , 4                 , 0                 , 6                 , 131                
2007              , Honda             , Civic             , 4                 , 14                , 0                 ,2                 , 0                 , 12                , 0                 , 0                 , 132                
2014              , Nissan            , Ssntra            , 193               , 14                , 0                 ,4                 , 4                 , 4                 , 2                 , 0                 , 133                
2005              , Volkswagen        , Jetta gli         , 177               , 12                , 0                 ,4                 , 4                 , 2                 , 2                 , 0                 , 134                
2004              , Infiniti          , G35               , 95                , 12                , 0                 ,0                 , 6                 , 6                 , 0                 , 0                 , 135                
2005              , Subaru            , Sti               , 76                , 12                , 4                 ,2                 , 0                 , 4                 , 0                 , 2                 , 136                
2013              , Nissan            , Altima            , 68                , 10                , 0                 ,0                 , 4                 , 4                 , 2                 , 0                 , 137                
2015              , Honda             , Accord            , 102               , 10                , 0                 ,0                 , 4                 , 4                 , 2                 , 0                 , 138                
2007              , Bmw               , 328i              , 111               , 10                , 4                 ,0                 , 2                 , 0                 , 4                 , 0                 , 139                
2008              , Toyota            , Matrix            , 243               , 10                , 0                 ,0                 , 4                 , 6                 , 0                 , 0                 , 140                
2008              , Nissan            , 350z              , 16                , 10                , 2                 ,2                 , 4                 , 2                 , 0                 , 0                 , 141                
2017              , Volkswagen        , Gti               , 96                , 10                , 2                 ,2                 , 0                 , 4                 , 2                 , 0                 , 142                
1990              , Mazda             , Miata             , 138               , 10                , 0                 ,4                 , 0                 , 6                 , 0                 , 0                 , 143                
